stop_id,route,direction,eta,eta_seq,data_timestamp
3F24CFF9046300D9,272A,O,2025-11-04T13:52:13+08:00,1,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,272A,O,2025-11-04T14:05:04+08:00,2,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,272A,O,2025-11-04T14:17:00+08:00,3,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,272A,O,2025-11-04T13:52:13+08:00,1,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,272A,O,2025-11-04T14:05:04+08:00,2,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,272A,O,2025-11-04T14:17:00+08:00,3,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,272A,O,2025-11-04T13:52:13+08:00,1,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,272A,O,2025-11-04T14:05:04+08:00,2,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,272A,O,2025-11-04T14:17:00+08:00,3,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,274,O,,1,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,274P,I,,1,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,64X,O,,1,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,65X,O,,1,2025-11-04T13:45:19+08:00
3F24CFF9046300D9,82D,O,,1,2025-11-04T13:45:19+08:00
33ABA49F0E91A247,263C,I,,1,2025-11-04T13:45:19+08:00
33ABA49F0E91A247,272P,O,,1,2025-11-04T13:45:19+08:00
33ABA49F0E91A247,272P,O,,1,2025-11-04T13:45:19+08:00
33ABA49F0E91A247,272X,O,2025-11-04T13:55:00+08:00,1,2025-11-04T13:45:19+08:00
33ABA49F0E91A247,272X,O,2025-11-04T14:25:57+08:00,2,2025-11-04T13:45:19+08:00
33ABA49F0E91A247,73D,I,,1,2025-11-04T13:45:19+08:00
33ABA49F0E91A247,900,O,,1,2025-11-04T13:45:19+08:00
33ABA49F0E91A247,900X,O,,1,2025-11-04T13:45:19+08:00
33ABA49F0E91A247,907D,O,,1,2025-11-04T13:45:19+08:00
07AB149DAD888683,271B,O,,1,2025-11-04T13:45:19+08:00
07AB149DAD888683,74,O,,1,2025-11-04T13:45:19+08:00
07AB149DAD888683,74D,O,2025-11-04T14:26:05+08:00,1,2025-11-04T13:45:19+08:00
07AB149DAD888683,74P,I,,1,2025-11-04T13:45:19+08:00
07AB149DAD888683,96,I,,1,2025-11-04T13:45:19+08:00
4A0ECA0D5AA4CB7E,A47X,O,,1,2025-11-04T13:45:19+08:00
4A0ECA0D5AA4CB7E,A47X,O,,1,2025-11-04T13:45:19+08:00
4A0ECA0D5AA4CB7E,NA47,O,,1,2025-11-04T13:45:19+08:00
3A7AC3A5F9530786,271B,O,,1,2025-11-04T13:45:19+08:00
3A7AC3A5F9530786,74,O,,1,2025-11-04T13:45:19+08:00
3A7AC3A5F9530786,74D,O,2025-11-04T14:27:11+08:00,1,2025-11-04T13:45:19+08:00
3A7AC3A5F9530786,74P,I,,1,2025-11-04T13:45:19+08:00
3A7AC3A5F9530786,96,I,,1,2025-11-04T13:45:19+08:00
023E9E5A9E073E1A,263C,I,,1,2025-11-04T13:45:19+08:00
023E9E5A9E073E1A,272P,O,,1,2025-11-04T13:45:19+08:00
023E9E5A9E073E1A,272P,O,,1,2025-11-04T13:45:19+08:00
023E9E5A9E073E1A,272X,O,2025-11-04T13:56:07+08:00,1,2025-11-04T13:45:19+08:00
023E9E5A9E073E1A,272X,O,2025-11-04T14:27:00+08:00,2,2025-11-04T13:45:19+08:00
023E9E5A9E073E1A,73D,I,,1,2025-11-04T13:45:19+08:00
023E9E5A9E073E1A,900,O,,1,2025-11-04T13:45:19+08:00
023E9E5A9E073E1A,900X,O,,1,2025-11-04T13:45:19+08:00
023E9E5A9E073E1A,907D,O,,1,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,272A,O,2025-11-04T13:53:25+08:00,1,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,272A,O,2025-11-04T14:06:18+08:00,2,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,272A,O,2025-11-04T14:18:11+08:00,3,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,272A,O,2025-11-04T13:53:25+08:00,1,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,272A,O,2025-11-04T14:06:18+08:00,2,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,272A,O,2025-11-04T14:18:11+08:00,3,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,272A,O,2025-11-04T13:53:25+08:00,1,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,272A,O,2025-11-04T14:06:18+08:00,2,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,272A,O,2025-11-04T14:18:11+08:00,3,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,274,O,,1,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,274P,I,,1,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,64X,O,,1,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,65X,O,,1,2025-11-04T13:45:19+08:00
B34F59A0270AEDA4,82D,O,,1,2025-11-04T13:45:19+08:00
437CE05BCFE6248C,A47X,O,,1,2025-11-04T13:45:19+08:00
437CE05BCFE6248C,A47X,O,,1,2025-11-04T13:45:19+08:00
437CE05BCFE6248C,NA47,O,,1,2025-11-04T13:45:19+08:00
